Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,10/17/2022 10:50,FALSE,Arlington Walking,1.85,201,0:37:54,118,134,103,125,20:27,15:32,115,49,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,37:54.06.9,1,0,0:37:38,0:39:03,520,633
Walking,10/14/2022 10:50,FALSE,Arlington Walking,4.86,493,1:29:23,97,146,116,135,18:23,14:22,554,541,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:29:23.05.8,1,0,1:29:05,1:55:58,535,680
Walking,10/13/2022 11:47,FALSE,Arlington Walking,4.13,411,1:14:10,109,128,117,127,17:58,5:27,95,177,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:14:10.09.9,1,0,1:13:38,1:22:15,455,570
Cycling,10/12/2022 13:18,FALSE,Arlington Cycling,16.18,530,1:49:45,114,131,0,0,8.8,21.7,269,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:13.15.1,4,0,1:47:39,1:56:20,512,573
Cycling,10/10/2022 12:32,FALSE,Arlington Cycling,19.82,740,3:06:03,111,127,0,0,6.4,19.1,640,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,43:01.00.7,4,0,2:47:19,3:40:12,568,764
Cycling,10/8/2022 12:05,FALSE,Arlington Cycling,15.62,647,2:41:08,107,133,0,0,5.8,16.3,607,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,03:59.80.9,4,0,2:14:45,2:59:09,562,752
Cycling,10/7/2022 13:10,FALSE,Arlington Cycling,18.69,702,3:09:57,106,137,0,0,5.9,20.5,623,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,35:18.88.7,4,0,2:43:47,3:09:57,540,728
Cycling,10/6/2022 11:10,FALSE,Arlington Cycling,17.12,676,2:49:03,106,141,0,0,6.1,15.7,476,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:59.30.9,4,0,2:20:38,3:40:37,549,738
Cycling,10/5/2022 9:25,FALSE,Arlington Cycling,23.33,893,3:47:18,109,133,0,0,6.2,16.2,863,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,29:02.8,5,0,3:22:31,3:50:30,489,702
Cycling,10/4/2022 10:56,FALSE,Arlington Cycling,16.26,607,2:42:11,104,140,0,0,6,16.4,558,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:23.4,4,0,2:22:06,2:42:11,554,724
